Name,Type,Diet,Era,Image
Euoplocephalus,Armored Dinosaur,Herbivore,Late Cretaceous,
Europasaurus,Sauropod,Herbivore,Late Jurassic,
Eustreptospondylus,Large Theropod,Carnivore,Mid Jurassic,
Fukuiraptor,Large Theropod,Carnivore,Early Cretaceous,
Fukuisaurus,Euornithopod,Herbivore,Early Cretaceous,
Gallimimus,Large Theropod,Omnivore,Late Cretaceous,
Gargoyleosaurus,Armored Dinosaur,Herbivore,Late Jurassic,
Garudimimus,Large Theropod,Omnivore,Late Cretaceous,
Gasosaurus,Small Theropod,Carnivore,Mid Jurassic,
Gasparinisaura,Euornithopod,Herbivore,Late Cretaceous,
Gastonia,Armored Dinosaur,Herbivore,Early Cretaceous,
Giganotosaurus,Large Theropod,Carnivore,Early Cretaceous,
Gilmoreosaurus,Euornithopod,Herbivore,Late Cretaceous,
Giraffatitan,Sauropod,Herbivore,Late Jurassic,
Gobisaurus,Armored Dinosaur,Herbivore,Early Cretaceous,
Gorgosaurus,Large Theropod,Carnivore,Late Cretaceous,
Goyocephale,Large Theropod,Herbivore,Late Cretaceous,
Graciliceratops,Ceratopsian,Herbivore,Late Cretaceous,
Gryposaurus,Euornithopod,Herbivore,Late Cretaceous,
Guaibasaurus,Small Theropod,Herbivore,Late Triassic,
Guanlong,Small Theropod,Carnivore,Late Jurassic,
Hadrosaurus,Euornithopod,Herbivore,Late Cretaceous,
Hagryphus,Small Theropod,Omnivore,Late Cretaceous,
Haplocanthosaurus,Sauropod,Herbivore,Late Jurassic,
Harpymimus,Small Theropod,Omnivore,Early Cretaceous,
Herrerasaurus,Small Theropod,Carnivore,Late Triassic,
Hesperosaurus,Armored Dinosaur,Herbivore,Late Jurassic,
Heterodontosaurus,Euornithopod,Herbivore,Early Jurassic,
Heyuannia,Small Theropod,Omnivore,Late Cretaceous,
Homalocephale,Euornithopod,Herbivore,Late Cretaceous,
Huayangosaurus,Armored Dinosaur,Herbivore,Mid Jurassic,
Hylaeosaurus,Armored Dinosaur,Herbivore,Early Cretaceous,
Hypacrosaurus,Euornithopod,Herbivore,Late Cretaceous,
Hypsilophodon,Euornithopod,Herbivore,Early Cretaceous,
Iguanodon,Euornithopod,Herbivore,Early Cretaceous,
Indosuchus,Large Theropod,Carnivore,Late Cretaceous,
Irritator,Large Theropod,Carnivore,Early Cretaceous,
Isisaurus,Sauropod,Herbivore,Late Cretaceous,
Janenschia,Sauropod,Herbivore,Late Jurassic,
Jaxartosaurus,Euornithopod,Herbivore,Late Cretaceous,
Jingshanosaurus,Sauropod,Herbivore,Early Jurassic,
Jinzhousaurus,Euornithopod,Herbivore,Early Cretaceous,
Jobaria,Sauropod,Herbivore,Early Cretaceous,
Juravenator,Small Theropod,Carnivore,Late Jurassic,
Kentrosaurus,Armored Dinosaur,Herbivore,Late Jurassic,
Khaan,Small Theropod,Omnivore,Late Cretaceous,
Kotasaurus,Sauropod,Herbivore,Early Jurassic,
Kritosaurus,Euornithopod,Herbivore,Late Cretaceous,
Lambeosaurus,Euornithopod,Herbivore,Late Cretaceous,
